ସମାଜର,of society
ସମୂହ,Group
ସମ୍ପାଦନା,editing
ସମ୍ବିଧାନ,Constitution
ସମ୍ବିଧାନର,of the Constitution
ସମ୍ମୁଖୀନ,Facing
ସହାୟକ,Assistant
ସାନ,younger
ସାମ୍ବାଦିକ,Journalist
ସିଂ,Singh
ସିଂହାସନ,The throne
ସିନେମା,Cinema
ସୌର,solar
ସ୍ଥଳୀ,Dwelling
ସ୍ଥାନମାନଙ୍କରେ,in places
ସ୍ଥାନର,of place
ସ୍ଥାନିତ,Placed
ସ୍ୱର୍ଣ୍ଣ,Gold
ସ୍ୱୀକୃତି,Acknowledgment
ହଠାତ,suddenly
ହନୁମାନ,Hanuman
ହଳଦିଆ,Yellow
ହିମାଳୟର,of the Himalayas
ହେଇଛି,It's done
ହେଇଥିବା,to be
ହୋଇଗଲେ,Done
୧୦୦,100
୧୦୦୦,1000
୧୯୪୬,1946
୧୯୫୨,1952
୧୯୫୫,1955
୧୯୫୭,1957
୧୯୮୩,1983
୧୯୯୪,1994
୧୯୯୯,1999
୨୦୦,2000
୨୦୦୩,2003
୨୦୦୬ରେ,In 2006
୨୦୦୮ରେ,In 2008
୪ର୍ଥ,4th
୫୦୦,500
disease,disease
disorder,disorder
medication,medication
p.,p.
pain,pain
world,world
ଅଞ୍ଚଳକୁ,to the region
ଅତିକ୍ରମ,beyond
ଅଦ୍ୟାବଧି,Until now
ଅଧିନିୟମ,Act
ଅଭିଯୋଗ,Allegation
ଅଭୟାରଣ୍ୟ,Sanctuary
ଅର୍ଜୁନ,Arjuna
ଅର୍ଥନୈତିକ,Economics
ଆଗରେ,Ahead
ଆଗ୍ରହ,Interest
ଆଜ୍‌ମା,Asthma
ଆଣିବା,bring
ଆଣ୍ଡ,and
ଆରବ,Arab
ଆଶଙ୍କା,Fear
ଆସିଥାଏ,comes
ଆୟତନ,Volume
ଇସ୍ତଫା,Resignation
ଉତ୍କୃଷ୍ଟ,Excellent
ଉତ୍ତର-ପୂର୍ବ,Northeast
ଉଦ୍ଭିଦ,Plant
ଉପପ୍ରଜାତି,Subspecies
ଉପଭୋଗ,Enjoyment
ଉପାୟରେ,By the way
ଏ.,A.
ଏକାଡେମୀର,of the academy
ଏମ,M
ଏସବୁ,That's it
ଏସିଡ,acid
ଏସୀୟ,Asian
ଏହାଛଡା,Besides
କଟକର,Cutter
କଥାଚିତ୍ରର,of cartoons
କଥାବାର୍ତ୍ତା,Conversation
କରଯାଇଥିଲା,was done
କରାଯାଇପାରିବ,Can be done
କରିପାରିବ,Can
କରିବାପାଇଁ,to do
କରିବାରୁ,because
କର୍ମଚାରୀ,Staff
କଲାବେଳେ,while doing
କଲେଜରେ,In college
କାନ୍ଥ,The wall
କାନ୍ଧ,shoulder
କାର୍ଯ୍ୟକ୍ରମର,of the program
କାର୍ଯ୍ୟକ୍ରମରେ,In the program
କିଏ,who
କିମି,km
କୀଟ,insect
କୃତି,Katie
କ୍ୱଚିତ,Rarely
କ୍ୱାଣ୍ଟମ,Quantum
ଖବରକାଗଜ,newspaper
ଖେଳାଳୀ,Player
ଖେଳିବା,to play
ଖ୍ୟାତି,Fame
ଗାଇ,Guy
ଗାଇଥିଲେ,sang
ଗାଢ଼,dark
ଗୁଡ଼ିଏ,many
ଗୁପ୍ତ,Secret
ଗୁରୁତ୍ୱ,Importance
ଗୋଲାକାର,Round
ଗୋସ୍ୱାମୀ,Goswami
ଘେରି,surround
ଚଉତିଶା,Chautisha
ଚର୍ବି,Fat
ଚିତ୍ରରେ,In the picture
ଚୀନ,China
ଜଟିଳତା,Complexity
ଜନସଂଖ୍ୟାର,of population
ଜଳରେ,in the water
ଜାନୁୟାରୀ,January
ଜେ,J
ଜୋରିମାନା,Penalty
ଜ୍ୟୋତି,Shine
ଜୟ,Jai
ଟାଇପ,Type
ଟିଭି,TV
ଟେଲିଭିଜନ,Television
ଠାକୁରଙ୍କୁ,To the singer
ଠିକ୍,Right
ଡାକ,Call
ତତ୍ତ୍ୱ,theory
ତନ୍ତୁ,So
ତାଲିକାରେ,In the list
ତୀର୍ଥ,Pilgrimage
ତୁରନ୍ତ,Immediately
ଦକ୍ଷତା,Ability
ଦକ୍ଷିଣ-ପୂର୍ବ,Southeast
ଦାଶ,Slave
ଦୀପକ,Deepak
ଦୁର୍ଗ,Castle
ଦୁର୍ଗା,Durga
ଦୂରେଇ,Away
ଦେଇଥିବା,gave
ଦେଖାଯାଇପାରେ,can be seen
ଦେଖାଯାଉଥିବା,visible
ଦୌଡ଼,run
ଧୋଇ,wash
ନାଚ,Dance
ନାଟ୍ୟ,Drama
ନାନାଦି,Nanadi
ନିଏ,Takes
ନିର୍ଦ୍ଧାରିତ,Scheduled
ନିୟମ,Law
ନ୍ୟାୟାଳୟର,of the court
ପତଳା,Thin
ପଦବୀରେ,in position
ପର,after
ପରଦିନ,The next day
ପରିସ୍ଥିତି,Situation
ପରିସ୍ଥିତିରେ,Under the circumstances
ପାଇଛନ୍ତି,got
ପାପ,Sin
ପାରମ୍ପାରିକ,Traditional
ପୁରସ୍କାରପ୍ରାପ୍ତ,award winning
ପୁରୁଷୋତ୍ତମ,Masculine
ପ୍ରକାଶନ,Publishing
ପ୍ରକ୍ରିୟା,Process
ପ୍ରତାପ,Glory
ପ୍ରତୀକ,symbol
ପ୍ରବଳ,Strong
ପ୍ରଶଂସା,Appreciation
ପ୍ରଶାସନ,Administration
ପ୍ରସଙ୍ଗ,Context
ପ୍ରସ୍ତୁତି,Preparation
ପ୍ରାରମ୍ଭରେ,Initially
ପ୍ରିୟଙ୍କା,Darling
ପ୍ରୋଟିନ,Protein
ବଦଳି,changed
ବଳରାମ,Balaram
ବାର୍ତ୍ତା,The message
ବାହିନୀ,Forces
ବିଗ୍ରହ,Alien
ବିଜ୍ଞାପନ,Advertising
ବିପଦ,Danger
ବିଫଳ,failed
ବିରୋଧରେ,Against
ବିରୋଧୀ,Opposition
ବିଶ୍ୱକପ,World Cup
ବିଶ୍ୱବିଦ୍ୟାଳୟର,University
ବିଷକ୍ରିୟା,Poisoning
ବିସ୍ତୃତ,Detailed
ବୀର,Hero
ବୁଦ୍ଧଙ୍କ,Buddha's
ବୃକ୍ଷ,tree
ବୃହତ୍,huge
ବେଦ,The Vedas
ବେଶରେ,in disguise
ବ୍ୟାପକ,Broad
ବ୍ୟାପ୍ତ,Pervasive
ଭଜନ,Hymn
ଭିତରୁ,from within
ଭୁଲ,Wrong
ଭୋଜନ,meal
ମଝିରେ,in between
ମଣ୍ଡପ,Mandap
ମନୋରଞ୍ଜନ,Entertainment
ମହକୁମା,Government
ମହାକାଶ,Space
ମହାନ,Great
ମହାବଳ,great strength
ମହାବିଦ୍ୟାଳୟରେ,In college
ମହାଭାରତ,Mahabharata
ମାଆଙ୍କ,mother's
ମାଟିରେ,In the soil
ମାରି,Marie
ମିଳନ,union
ମୁଖ,Mouth
ମୁମ୍ବାଇରେ,In Mumbai
ମୁହଁ,face
ଯିବାକୁ,to go
ରକ୍ତରେ,in blood
ରଥଯାତ୍ରା,ride
ରଥରେ,in the chariot
ରହିଅଛି,remaining
ରହିପାରେ,May be
ରାଓ,Rao
ରାଜ,King
ରାଜନୀତି,Politics
ରାଜପଥ,Highway
ରାଜ୍ଯ,Kingdom
ରୋକିବା,prevent
ରୋଗୀଙ୍କ,of patients
ରୋଜା,Rosa
ଲଣ୍ଡନରେ,In London
ଲୀଳା,Lyla
ଲେଖି,By writing
ଲେଖିଛନ୍ତି,wrote
ଲେଖିବା,to write
ଲୋକପ୍ରିୟତା,Popularity
ଲୋକମାନଙ୍କ,of the people
ଶଙ୍କର,Shankara
ଶାସକ,Ruler
ଶିକ୍ଷାଲାଭ,Education
ଶିଶୁର,of the child
ଶୁଦ୍ଧ,Pure
ଶ୍ୱାସ,breath
ସଂପର୍କରେ,In relation
ସଂସ୍କୃତିର,of culture
ସଞ୍ଚାରିତ,circulated
ସପ୍ତମ,Seventh
ସଫା,Clear
ସବୁଠୁ,Most of all
ସମନ୍ୱୟ,Coordination
ସମୁଦ୍ରରେ,in the sea
ସରକାରଙ୍କୁ,To the government
ସରସ୍ୱତୀ,Saraswati
ସର୍ବବୃହତ,the greatest
ସାତ,Seven
ସାଥିରେ,along with
ସାହିତ୍ୟର,of literature
ସୁପାରିସ,recommendation
ସୂତ୍ର,Formula
ସେଇ,That
ସେବକ,Servant
ସେବକମାନେ,Servants
ସ୍ତନ,breast
ସ୍ଥଳରେ,on land
ସ୍ଥଳେ,instead of
ସ୍ଥାନରୁ,from the place
ସ୍ଥାନାନ୍ତରିତ,Transferred
ସ୍ପର୍ଶ,Touch
ସ୍ରୋତ,Stream
ହରମୋନ,Hormones
ହୋଇଅଛି,done
ହୋଇପାରିବ,Can be
ହୋଇଯାଇଛି,done
ହୋଇଯାଇଥିଲା,It was done
